iso_code,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred
BGR,2020-03-08,,,
BGR,2020-03-09,,,
BGR,2020-03-10,,,
BGR,2020-03-11,,,
BGR,2020-03-12,,,
BGR,2020-03-13,0.476,0.021,
BGR,2020-03-14,0.849,0.041,
BGR,2020-03-15,0.974,0.041,
BGR,2020-03-16,0.994,0.041,
BGR,2020-03-17,1.305,0.041,
BGR,2020-03-18,1.761,0.021,
BGR,2020-03-19,1.802,0.041,
BGR,2020-03-20,2.154,0.041,
BGR,2020-03-21,2.527,0.021,
BGR,2020-03-22,2.817,0.021,
BGR,2020-03-23,3.086,0.021,
BGR,2020-03-24,3.128,0.021,
BGR,2020-03-25,3.107,0.021,
BGR,2020-03-26,3.521,0.0,
BGR,2020-03-27,3.439,0.0,
BGR,2020-03-28,3.48,0.083,
BGR,2020-03-29,3.294,0.104,
BGR,2020-03-30,3.273,0.104,
BGR,2020-03-31,3.749,0.104,
BGR,2020-04-01,3.729,0.145,
BGR,2020-04-02,3.998,0.145,
BGR,2020-04-03,3.977,0.228,
BGR,2020-04-04,3.563,0.207,
BGR,2020-04-05,3.832,0.249,
BGR,2020-04-06,3.936,0.29,
BGR,2020-04-07,3.687,0.311,
BGR,2020-04-08,3.542,0.29,
BGR,2020-04-09,3.335,0.29,
BGR,2020-04-10,3.107,0.228,
BGR,2020-04-11,3.273,0.228,
BGR,2020-04-12,2.983,0.186,
BGR,2020-04-13,2.817,0.207,
BGR,2020-04-14,2.817,0.249,
BGR,2020-04-15,3.19,0.249,
BGR,2020-04-16,3.77,0.29,
BGR,2020-04-17,4.371,0.331,
BGR,2020-04-18,4.495,0.269,
BGR,2020-04-19,4.536,0.269,
BGR,2020-04-20,5.054,0.228,
BGR,2020-04-21,5.427,0.207,
BGR,2020-04-22,5.738,0.269,
BGR,2020-04-23,6.152,0.29,
BGR,2020-04-24,8.037,0.269,
BGR,2020-04-25,7.643,0.29,
BGR,2020-04-26,8.41,0.29,
BGR,2020-04-27,8.99,0.311,
BGR,2020-04-28,8.783,0.269,
BGR,2020-04-29,8.762,0.311,
BGR,2020-04-30,8.472,0.29,
BGR,2020-05-01,6.649,0.29,
BGR,2020-05-02,7.188,0.352,
BGR,2020-05-03,6.587,0.352,
BGR,2020-05-04,5.986,0.414,
BGR,2020-05-05,6.318,0.456,
BGR,2020-05-06,6.856,0.414,
BGR,2020-05-07,6.691,0.373,
BGR,2020-05-08,6.566,0.373,
BGR,2020-05-09,6.773,0.373,
BGR,2020-05-10,7.188,0.373,
BGR,2020-05-11,7.001,0.311,
BGR,2020-05-12,6.608,0.311,
BGR,2020-05-13,6.028,0.249,
BGR,2020-05-14,5.613,0.311,
BGR,2020-05-15,5.51,0.331,
BGR,2020-05-16,5.261,0.311,
BGR,2020-05-17,5.096,0.352,
BGR,2020-05-18,5.075,0.352,
BGR,2020-05-19,4.888,0.352,
BGR,2020-05-20,4.619,0.414,
