iso_code,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred
AFG,2020-02-24,,,
AFG,2020-02-25,,,
AFG,2020-02-26,,,
AFG,2020-02-27,,,
AFG,2020-02-28,,,
AFG,2020-02-29,0.018,0.0,
AFG,2020-03-01,0.018,0.0,
AFG,2020-03-02,0.0,0.0,
AFG,2020-03-03,0.0,0.0,
AFG,2020-03-04,0.0,0.0,
AFG,2020-03-05,0.0,0.0,
AFG,2020-03-06,0.0,0.0,
AFG,2020-03-07,0.011,0.0,
AFG,2020-03-08,0.011,0.0,
AFG,2020-03-09,0.011,0.0,
AFG,2020-03-10,0.011,0.0,
AFG,2020-03-11,0.022,0.0,
AFG,2020-03-12,0.022,0.0,
AFG,2020-03-13,0.022,0.0,
AFG,2020-03-14,0.022,0.0,
AFG,2020-03-15,0.043,0.0,
AFG,2020-03-16,0.061,0.0,
AFG,2020-03-17,0.065,0.0,
AFG,2020-03-18,0.054,0.0,
AFG,2020-03-19,0.054,0.0,
AFG,2020-03-20,0.047,0.0,
AFG,2020-03-21,0.036,0.0,
AFG,2020-03-22,0.05,0.0,
AFG,2020-03-23,0.054,0.004,
AFG,2020-03-24,0.057,0.004,
AFG,2020-03-25,0.172,0.004,
AFG,2020-03-26,0.194,0.007,
AFG,2020-03-27,0.24,0.007,
AFG,2020-03-28,0.294,0.007,
AFG,2020-03-29,0.287,0.014,
AFG,2020-03-30,0.265,0.011,
AFG,2020-03-31,0.445,0.011,
AFG,2020-04-01,0.423,0.011,
AFG,2020-04-02,0.556,0.007,
AFG,2020-04-03,0.638,0.011,
AFG,2020-04-04,0.588,0.011,
AFG,2020-04-05,0.663,0.011,
AFG,2020-04-06,0.8,0.011,
AFG,2020-04-07,0.721,0.025,
AFG,2020-04-08,0.828,0.036,
AFG,2020-04-09,0.75,0.039,
AFG,2020-04-10,0.904,0.036,
AFG,2020-04-11,0.9,0.036,
AFG,2020-04-12,0.918,0.039,
AFG,2020-04-13,0.968,0.043,
AFG,2020-04-14,1.069,0.039,
AFG,2020-04-15,1.244,0.039,
AFG,2020-04-16,1.255,0.05,
AFG,2020-04-17,1.162,0.054,
AFG,2020-04-18,1.388,0.054,
AFG,2020-04-19,1.356,0.043,
AFG,2020-04-20,1.395,0.05,
AFG,2020-04-21,1.295,0.05,
AFG,2020-04-22,1.155,0.039,
AFG,2020-04-23,1.37,0.039,
AFG,2020-04-24,1.366,0.036,
AFG,2020-04-25,1.513,0.047,
AFG,2020-04-26,1.901,0.068,
AFG,2020-04-27,1.919,0.061,
AFG,2020-04-28,2.428,0.086,
AFG,2020-04-29,2.636,0.086,
AFG,2020-04-30,2.335,0.072,
AFG,2020-05-01,3.389,0.086,
AFG,2020-05-02,4.085,0.104,
AFG,2020-05-03,3.608,0.082,
AFG,2020-05-04,3.364,0.079,
AFG,2020-05-05,2.747,0.043,
AFG,2020-05-06,5.01,0.126,
AFG,2020-05-07,5.612,0.158,
AFG,2020-05-08,4.992,0.147,
AFG,2020-05-09,3.923,0.118,
AFG,2020-05-10,6.932,0.169,
AFG,2020-05-11,7.872,0.172,
AFG,2020-05-12,8.958,0.197,
AFG,2020-05-13,6.251,0.115,
AFG,2020-05-14,6.982,0.115,
AFG,2020-05-15,8.93,0.172,
AFG,2020-05-16,10.181,0.226,
AFG,2020-05-17,8.008,0.179,
AFG,2020-05-18,8.636,0.19,
AFG,2020-05-19,9.64,0.179,
AFG,2020-05-20,11.397,0.215,
AFG,2020-05-21,11.967,0.204,
AFG,2020-05-22,11.343,0.186,
AFG,2020-05-23,12.731,0.169,
AFG,2020-05-24,14.463,0.19,
AFG,2020-05-25,14.732,0.179,
AFG,2020-05-26,15.284,0.169,
AFG,2020-05-27,15.492,0.154,
AFG,2020-05-28,15.872,0.165,
AFG,2020-05-29,16.242,0.161,
AFG,2020-05-30,16.414,0.133,
AFG,2020-05-31,16.181,0.115,
AFG,2020-06-01,16.697,0.165,
AFG,2020-06-02,16.715,0.179,
AFG,2020-06-03,17.529,0.244,
AFG,2020-06-04,17.483,0.23,
AFG,2020-06-05,19.043,0.226,
AFG,2020-06-06,18.318,0.283,
AFG,2020-06-07,18.82,0.384,
AFG,2020-06-08,18.53,0.373,
AFG,2020-06-09,16.963,0.38,
AFG,2020-06-10,17.483,0.398,
AFG,2020-06-11,17.927,0.455,
AFG,2020-06-12,16.414,0.491,
AFG,2020-06-13,16.321,0.445,
AFG,2020-06-14,15.865,0.409,
AFG,2020-06-15,16.532,0.384,
AFG,2020-06-16,15.819,0.387,
AFG,2020-06-17,16.97,0.355,
AFG,2020-06-18,15.948,0.43,
AFG,2020-06-19,15.535,0.366,
AFG,2020-06-20,15.044,0.348,
AFG,2020-06-21,14.585,0.394,
AFG,2020-06-22,12.968,0.438,
AFG,2020-06-23,13.8,0.481,
AFG,2020-06-24,9.919,0.484,
AFG,2020-06-25,10.178,0.463,
AFG,2020-06-26,8.542,0.473,
AFG,2020-06-27,8.316,0.556,
AFG,2020-06-28,7.653,0.531,
AFG,2020-06-29,7.513,0.484,
AFG,2020-06-30,6.735,0.42,
AFG,2020-07-01,7.61,0.484,
AFG,2020-07-02,6.624,0.473,
AFG,2020-07-03,7.402,0.498,
AFG,2020-07-04,7.373,0.441,
AFG,2020-07-05,7.115,0.484,
AFG,2020-07-06,6.548,0.552,
AFG,2020-07-07,7.262,0.663,
AFG,2020-07-08,6.57,0.581,
AFG,2020-07-09,5.849,0.466,
AFG,2020-07-10,6.706,0.545,
AFG,2020-07-11,6.021,0.534,
AFG,2020-07-12,5.379,0.524,
AFG,2020-07-13,4.988,0.448,
AFG,2020-07-14,4.863,0.448,
AFG,2020-07-15,4.827,0.567,
AFG,2020-07-16,5.082,0.631,
AFG,2020-07-17,3.712,0.631,
AFG,2020-07-18,3.364,0.617,
AFG,2020-07-19,3.672,0.613,
AFG,2020-07-20,3.78,0.613,
AFG,2020-07-21,3.138,0.498,
AFG,2020-07-22,2.822,0.344,
AFG,2020-07-23,3.03,0.351,
